rank,name,team,position,Attempts,Yards,Touchdowns,Long,20+,40+,Fumbles
1,Kareem Hunt,KC,RB,272,1327,8,69,12,3,1
2,Todd Gurley,LA,RB,279,1305,13,57,8,1,5
3,Le,PIT,RB,321,1291,9,27,3,0,2
4,LeSean McCoy,BUF,RB,287,1138,6,48,12,1,3
5,Mark Ingram,NO,RB,230,1124,12,72,11,3,2
6,Jordan Howard,CHI,RB,276,1122,9,53,5,3,1
7,Melvin Gordon,LAC,RB,284,1105,8,87,5,1,1
8,Leonard Fournette,JAX,RB,268,1040,9,90,4,2,2
9,C.J. Anderson,DEN,RB,245,1007,3,40,7,1,1
10,Ezekiel Elliott,DAL,RB,242,983,7,30,5,0,1
11,Alex Collins,BAL,RB,212,973,6,50,6,1,2
12,Frank Gore,IND,RB,261,961,3,21,1,0,3
13,Carlos Hyde,SF,RB,240,938,8,61,6,1,2
14,Dion Lewis,NE,RB,180,896,6,44,7,1,0
15,Marshawn Lynch,OAK,RB,207,891,7,51,5,1,1
16,Lamar Miller,HOU,RB,238,888,3,21,1,0,1
17,Devonta Freeman,ATL,RB,196,865,7,44,5,1,4
18,Isaiah Crowell,CLE,RB,206,853,2,59,5,1,1
19,Latavius Murray,MIN,RB,216,842,8,46,7,1,1
20,Bilal Powell,NYJ,RB,178,772,5,75,9,4,0
21,LeGarrette Blount,PHI,RB,173,766,2,68,7,1,1
22,Cam Newton,CAR,QB,139,754,6,69,5,2,6
23,Orleans Darkwa,NYG,RB,171,751,5,75,6,2,1
24,Derrick Henry,TEN,RB,176,744,5,75,5,2,1
25,Alvin Kamara,NO,RB,120,728,8,74,5,1,1
26,Jonathan Stewart,CAR,RB,198,680,6,60,1,1,3
27,DeMarco Murray,TEN,RB,184,659,6,75,3,1,1
28,Kenyan Drake,MIA,RB,133,644,3,66,7,3,2
29,Tevin Coleman,ATL,RB,156,628,5,52,6,1,1
30,Joe Mixon,CIN,RB,178,626,4,25,2,0,1
31,Samaje Perine,WAS,RB,175,603,1,30,1,0,2
32,Javorius Allen,BAL,RB,153,591,4,37,1,0,0
33,Russell Wilson,SEA,QB,95,586,3,31,4,0,6
34,Jerick McKinnon,MIN,RB,150,570,3,58,2,1,2
35,Jamaal Williams,GB,RB,153,556,4,25,1,0,0
36,Ameer Abdullah,DET,RB,165,552,4,34,5,0,2
37,Alfred Morris,DAL,RB,115,547,1,70,4,1,0
38,Wayne Gallman,NYG,RB,111,476,0,24,2,0,3
39,Matt Breida,SF,RB,105,465,2,33,2,0,1
40,Giovani Bernard,CIN,RB,105,458,2,25,5,0,0
41,Aaron Jones,GB,RB,81,448,4,46,6,1,0
41,Adrian Peterson,ARI,RB,129,448,2,27,2,0,3
43,Christian McCaffrey,CAR,RB,117,435,2,40,1,1,1
44,Tyrod Taylor,BUF,QB,84,427,4,32,2,0,1
45,Kerwynn Williams,ARI,RB,120,426,1,25,2,0,0
46,Peyton Barber,TB,RB,108,423,3,34,1,0,2
47,DeShone Kizer,CLE,QB,77,419,5,20,2,0,3
48,Jay Ajayi,PHI,RB,70,408,1,71,4,2,2
49,Doug Martin,TB,RB,138,406,3,27,1,0,1
50,Mike Gillislee,NE,RB,104,383,5,16,0,0,1
