Team,Wins,Losses,Ties,Percent,Points_Scored,Points_allowed,Home_Wins,Home_Losses,Home_Ties,Road_Wins,Road_Losses,Road_Ties,Conference_Wins,Conference_Losses,Conference_Ties,Final_Streak

Arizona Cardinals,8,8,0,0.5,295,361,5,3,0,3,5,0,5,7,0,3

Atlanta Falcons,10,6,0,0.625,353,315,5,3,0,5,3,0,9,3,0,3

Baltimore Ravens,9,7,0,0.563,395,303,5,3,0,4,4,0,7,5,0,3

Buffalo Bills,9,7,0,0.563,302,359,6,2,0,3,5,0,7,5,0,3

Carolina Panthers,11,5,0,0.688,363,327,6,2,0,5,3,0,7,5,0,3

Chicago Bears,5,11,0,0.313,264,320,3,5,0,2,6,0,1,11,0,2

Cincinnati Bengals,7,9,0,0.438,290,349,4,4,0,3,5,0,6,6,0,2

Cleveland Browns,0,16,0,0,234,410,0,8,0,0,8,0,0,12,0,0

Dallas Cowboys,9,7,0,0.563,354,332,3,5,0,6,2,0,7,5,0,4

Denver Broncos,5,11,0,0.313,289,382,4,4,0,1,7,0,4,8,0,2

Detroit Lions,9,7,0,0.563,410,376,4,4,0,5,3,0,8,4,0,3

Green Bay Packers,7,9,0,0.438,320,384,4,4,0,3,5,0,5,7,0,2

Houston Texans,4,12,0,0.25,338,436,3,5,0,1,7,0,3,9,0,0

Indianapolis Colts,4,12,0,0.25,263,404,3,5,0,1,7,0,3,9,0,1

Jacksonville Jaguars,10,6,0,0.625,417,268,6,2,0,4,4,0,9,3,0,3

Kansas City Chiefs,10,6,0,0.625,415,339,6,2,0,4,4,0,8,4,0,4

Los Angeles Chargers,9,7,0,0.563,355,272,5,3,0,4,4,0,6,6,0,4

Los Angeles Rams,11,5,0,0.688,478,329,4,4,0,7,1,0,7,5,0,3

Miami Dolphins,6,10,0,0.375,281,393,4,4,0,2,6,0,5,7,0,2

Minnesota Vikings,13,3,0,0.813,382,252,7,1,0,6,2,0,10,2,0,4

New England Patriots,13,3,0,0.813,458,296,6,2,0,7,1,0,10,2,0,4

New Orleans Saints,11,5,0,0.688,448,326,7,1,0,4,4,0,8,4,0,3

New York Giants,3,13,0,0.188,246,388,2,6,0,1,7,0,1,11,0,1

New York Jets,5,11,0,0.313,298,382,4,4,0,1,7,0,5,7,0,1

Oakland Raiders,6,10,0,0.375,301,373,4,4,0,2,6,0,5,7,0,1

Philadelphia Eagles,13,3,0,0.813,457,295,7,1,0,6,2,0,10,2,0,3

Pittsburgh Steelers,13,3,0,0.813,406,308,6,2,0,7,1,0,10,2,0,4

San Francisco 49ers,6,10,0,0.375,331,383,3,5,0,3,5,0,3,9,0,5

Seattle Seahawks,9,7,0,0.563,366,332,4,4,0,5,3,0,7,5,0,2

Tampa Bay Buccaneers,5,11,0,0.313,335,382,4,4,0,1,7,0,3,9,0,1

Tennessee Titans,9,7,0,0.563,334,356,6,2,0,3,5,0,8,4,0,2

Washington Redskins,7,9,0,0.438,342,388,5,3,0,2,6,0,5,7,0,2

