rank,name,team,position,Receptions,Yards,Touchdowns,Long,20+,40+,Fumbles

1,Antonio Brown,PIT,WR,101,"1,533",9,57,27,7,3

2,Julio Jones,ATL,WR,88,"1,444",3,53,23,4,0

3,Keenan Allen,LAC,WR,102,"1,393",6,51,18,4,1

4,DeAndre Hopkins,HOU,WR,96,"1,378",13,72T,24,2,1

5,Adam Thielen,MIN,WR,91,"1,276",4,65T,20,5,3

6,Michael Thomas,NO,WR,104,"1,245",5,43,22,1,0

7,Tyreek Hill,KC,WR,75,"1,183",7,79T,15,9,0

8,Larry Fitzgerald,ARI,WR,109,"1,156",6,37,16,0,1

9,Marvin Jones,DET,WR,61,"1,101",9,58,20,6,0

10,Rob Gronkowski,NE,TE,69,"1,084",8,53T,18,2,1

11,Brandin Cooks,NE,WR,65,"1,082",7,64T,18,7,0

12,A,CIN,WR,75,"1,078",8,77T,9,4,2

13,Travis Kelce,KC,TE,83,"1,038",8,44,19,1,0

14,Golden Tate,DET,WR,92,"1,003",5,71T,10,3,1

15,Mike Evans,TB,WR,71,"1,001",5,42T,9,2,1

16,Doug Baldwin,SEA,WR,75,991,8,54,18,3,0

17,Jarvis Landry,MIA,WR,112,987,9,49,6,1,3

18,T,IND,WR,.,57,80T,60.4,4,14,66.7

19,Marquise Goodwin,SF,WR,56,962,2,83T,13,5,0

20,Demaryius Thomas,DEN,WR,83,949,5,40,15,1,1

21,Robby Anderson,NYJ,WR,63,941,7,69T,17,3,0

22,JuJu Smith,PIT,WR,58,917,7,97T,12,6,0

23,Davante Adams,GB,WR,74,885,10,55T,8,3,0

24,Cooper Kupp,LA,WR,62,869,5,64,12,2,1

25,Stefon Diggs,MIN,WR,64,849,8,59T,14,3,0

26,Kenny Stills,MIA,WR,58,847,6,61T,14,2,4

27,Devin Funchess,CAR,WR,63,840,8,44,15,1,0

28,Dez Bryant,DAL,WR,69,838,6,50T,8,2,1

29,Alvin Kamara,NO,RB,81,826,5,40,11,1,0

30,Zach Ertz,PHI,TE,74,824,8,53,7,2,1

31,Jermaine Kearse,NYJ,WR,65,810,5,51,9,4,1

32,Delanie Walker,TEN,TE,74,807,3,42,9,1,2

33,Rishard Matthews,TEN,WR,53,795,4,75T,13,2,0

34,Jamison Crowder,WAS,WR,66,789,3,41,12,1,1

34,Alshon Jeffery,PHI,WR,57,789,9,53T,8,1,0

36,Todd Gurley,LA,RB,64,788,6,80T,12,4,0

37,Ted Ginn,NO,WR,53,787,4,54T,15,5,0

38,Robert Woods,LA,WR,56,781,5,94T,12,2,1

39,Nelson Agholor,PHI,WR,62,768,8,72T,9,3,0

40,Keelan Cole,JAX,WR,42,748,3,75T,11,4,2

40,Mike Wallace,BAL,WR,52,748,4,66,11,4,0

42,Sterling Shepard,NYG,WR,59,731,2,77T,7,3,1

43,Tyrell Williams,LAC,WR,43,728,4,75T,12,3,1

44,Evan Engram,NYG,TE,64,722,6,35,11,0,0

45,Paul Richardson,SEA,WR,44,703,6,61T,13,3,0

45,Mohamed Sanu,ATL,WR,67,703,5,25,10,0,0

47,Marqise Lee,JAX,WR,56,702,3,45,6,1,1

48,Duke Johnson,CLE,RB,74,693,3,41T,9,1,2

49,Jack Doyle,IND,TE,80,690,4,26,4,0,2

50,Jared Cook,OAK,TE,54,688,2,35,10,0,1

